Losses_9_5,Losses_19,Losses28_5,Losses_38,Losses47_5,Losses_57,Losses66_5,Losses_76,Losses85_5,Losses_95,Subj,Study
-1250.0,-1750,-2100.0,-2200,-2700.0,-3550,-3550.0,-4150,-4400.0,-4650,1,Fridberg
0.0,-1300,-1800.0,-3850,-4500.0,-4950,-6775.0,-6900,-7225.0,-7925,2,Fridberg
-150.0,-1450,-2625.0,-3250,-3550.0,-4800,-5100.0,-5600,-7600.0,-7850,3,Fridberg
-150.0,-1400,-1725.0,-3250,-3500.0,-4950,-5250.0,-5500,-7350.0,-7525,4,Fridberg
-150.0,-200,-1750.0,-2050,-3550.0,-3800,-4100.0,-5900,-6312.5,-6350,5,Fridberg
-150.0,-1450,-1800.0,-2150,-2225.0,-2550,-4050.0,-4150,-4400.0,-4700,6,Fridberg
-75.0,-200,-1775.0,-2050,-3300.0,-3800,-5825.0,-6250,-7000.0,-7400,7,Fridberg
-150.0,-1450,-1950.0,-2250,-3775.0,-4050,-4350.0,-5950,-6550.0,-6600,8,Fridberg
-150.0,-200,-1700.0,-3000,-3500.0,-3800,-5400.0,-6000,-6250.0,-7525,9,Fridberg
0.0,0,-1575.0,-3000,-3250.0,-3300,-3800.0,-3850,-4150.0,-4425,10,Fridberg
-200.0,-1500,-1800.0,-3250,-5150.0,-5400,-5650.0,-5700,-7425.0,-7800,11,Fridberg
0.0,-50,-1525.0,-3400,-3675.0,-4925,-5600.0,-7200,-7775.0,-7925,12,Fridberg
-150.0,-500,-1750.0,-3500,-3750.0,-5150,-5400.0,-6000,-6275.0,-6350,13,Fridberg
-150.0,-200,-1925.0,-3350,-3350.0,-4850,-5400.0,-7000,-7450.0,-7725,14,Fridberg
-25.0,-500,-1750.0,-2300,-2662.5,-3450,-4950.0,-5200,-5600.0,-5850,15,Fridberg
