,Losses_10,Losses_20,Losses_30,Losses_40,Losses_50,Losses_60,Losses_70,Losses_80,Losses_90,Losses_100,Subj,Study
291,-150.0,-400.0,-1700.0,-1900.0,-450.0,-2250.0,-2000.0,0.0,-2450.0,-2800.0,292,Premkumar
292,-150.0,-350.0,-500.0,-300.0,-2225.0,-900.0,-1850.0,-575.0,-725.0,-2525.0,293,Premkumar
293,0.0,-250.0,-1750.0,-550.0,-1950.0,-300.0,-425.0,-550.0,-2300.0,-375.0,294,Premkumar
294,-150.0,-1550.0,-300.0,-700.0,-750.0,-25.0,-300.0,-675.0,-600.0,-375.0,295,Premkumar
295,-150.0,-1600.0,-250.0,-1750.0,-700.0,-325.0,-2550.0,-100.0,-750.0,-2000.0,296,Premkumar
296,-500.0,-250.0,-1300.0,-600.0,-475.0,-375.0,-125.0,-250.0,-450.0,-475.0,297,Premkumar
297,-150.0,-1300.0,-350.0,-1800.0,-800.0,-2225.0,-525.0,0.0,-2000.0,-2250.0,298,Premkumar
298,-150.0,-1350.0,-250.0,-450.0,-275.0,-400.0,-325.0,-375.0,-200.0,-525.0,299,Premkumar
299,-150.0,-1300.0,-550.0,-250.0,-275.0,-1850.0,-700.0,-700.0,-325.0,-575.0,300,Premkumar
300,-50.0,-250.0,-1100.0,-300.0,-675.0,-1375.0,-350.0,-1500.0,-1550.0,-400.0,301,Premkumar
301,0.0,-1300.0,-400.0,-275.0,-225.0,-325.0,-350.0,-375.0,-125.0,-275.0,302,Premkumar
302,-50.0,-150.0,-800.0,-700.0,-650.0,-2000.0,-650.0,-2100.0,-675.0,-50.0,303,Premkumar
303,-150.0,-1600.0,-450.0,-800.0,-275.0,-1500.0,-450.0,-2325.0,-650.0,-250.0,304,Premkumar
304,-150.0,-1300.0,-400.0,-650.0,-200.0,-900.0,-325.0,-350.0,-350.0,-275.0,305,Premkumar
305,-150.0,-1300.0,-550.0,-1500.0,-275.0,-500.0,-625.0,-350.0,-375.0,-2700.0,306,Premkumar
306,-50.0,-1400.0,-1800.0,-450.0,-150.0,-350.0,-725.0,-250.0,-675.0,-350.0,307,Premkumar
307,-450.0,-250.0,-1900.0,-400.0,-2300.0,-400.0,-425.0,-375.0,-375.0,-150.0,308,Premkumar
308,0.0,-300.0,-200.0,-325.0,-300.0,-325.0,-350.0,-725.0,-175.0,-300.0,309,Premkumar
309,-200.0,-1250.0,-1800.0,-300.0,-2050.0,-1025.0,0.0,-625.0,-2100.0,0.0,310,Premkumar
310,0.0,-400.0,-500.0,-875.0,-450.0,-625.0,-1200.0,-200.0,-475.0,-75.0,311,Premkumar
311,-50.0,-150.0,-1850.0,-250.0,-1250.0,-1775.0,-1075.0,-400.0,-300.0,-250.0,312,Premkumar
312,-150.0,-300.0,-1550.0,-500.0,-1600.0,-775.0,-375.0,-650.0,-575.0,-2475.0,313,Premkumar
313,-150.0,-1300.0,-300.0,-700.0,-275.0,-300.0,-325.0,-350.0,-1975.0,-250.0,314,Premkumar
314,-150.0,-350.0,-550.0,-2000.0,-2250.0,-25.0,-2300.0,-350.0,-2075.0,-625.0,315,Premkumar
315,-50.0,-450.0,-175.0,-1450.0,-450.0,-300.0,-300.0,-375.0,-275.0,-475.0,316,Premkumar
