,Wins_15,Wins_30,Wins_45,Wins_60,Wins_75,Wins_90,Wins_105,Wins_120,Wins_135,Wins_150,Subj,Study
57,750.0,1000.0,750.0,800.0,700.0,800.0,950.0,750.0,500.0,750.0,58,Wetzels
58,900.0,650.0,700.0,750.0,750.0,750.0,700.0,750.0,750.0,750.0,59,Wetzels
59,900.0,650.0,600.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,60,Wetzels
60,750.0,750.0,750.0,700.0,800.0,800.0,700.0,750.0,750.0,900.0,61,Wetzels
61,800.0,800.0,700.0,750.0,700.0,850.0,850.0,900.0,750.0,900.0,62,Wetzels
62,1000.0,750.0,750.0,700.0,700.0,550.0,600.0,500.0,500.0,550.0,63,Wetzels
63,700.0,500.0,650.0,650.0,750.0,600.0,650.0,600.0,600.0,600.0,64,Wetzels
64,900.0,600.0,700.0,850.0,800.0,800.0,850.0,900.0,850.0,900.0,65,Wetzels
65,750.0,800.0,800.0,800.0,750.0,700.0,750.0,700.0,700.0,700.0,66,Wetzels
66,650.0,1000.0,750.0,700.0,650.0,850.0,600.0,750.0,550.0,650.0,67,Wetzels
67,750.0,850.0,850.0,800.0,850.0,750.0,900.0,850.0,750.0,750.0,68,Wetzels
68,500.0,500.0,800.0,600.0,650.0,650.0,600.0,600.0,500.0,600.0,69,Wetzels
69,1000.0,900.0,700.0,700.0,650.0,650.0,500.0,500.0,500.0,500.0,70,Wetzels
70,750.0,550.0,550.0,500.0,500.0,500.0,550.0,500.0,500.0,600.0,71,Wetzels
71,950.0,950.0,900.0,750.0,850.0,500.0,500.0,500.0,500.0,500.0,72,Wetzels
72,1000.0,600.0,600.0,750.0,800.0,950.0,1000.0,700.0,700.0,550.0,73,Wetzels
73,700.0,1000.0,600.0,900.0,500.0,500.0,500.0,500.0,900.0,650.0,74,Wetzels
74,800.0,800.0,800.0,800.0,700.0,750.0,550.0,650.0,500.0,500.0,75,Wetzels
75,900.0,650.0,600.0,700.0,750.0,750.0,750.0,950.0,550.0,750.0,76,Wetzels
76,800.0,750.0,750.0,650.0,650.0,600.0,700.0,650.0,650.0,600.0,77,Wetzels
77,750.0,800.0,700.0,750.0,900.0,800.0,750.0,850.0,500.0,500.0,78,Wetzels
78,950.0,700.0,800.0,600.0,550.0,600.0,650.0,550.0,600.0,550.0,79,Wetzels
79,750.0,1000.0,900.0,750.0,500.0,500.0,500.0,500.0,500.0,500.0,80,Wetzels
80,800.0,500.0,900.0,800.0,950.0,900.0,1000.0,900.0,900.0,950.0,81,Wetzels
81,650.0,800.0,1000.0,550.0,1000.0,650.0,650.0,750.0,750.0,750.0,82,Wetzels
82,800.0,750.0,750.0,750.0,800.0,750.0,750.0,800.0,750.0,800.0,83,Wetzels
83,850.0,800.0,1000.0,900.0,900.0,800.0,850.0,700.0,650.0,750.0,84,Wetzels
84,800.0,800.0,750.0,800.0,650.0,700.0,750.0,800.0,750.0,650.0,85,Wetzels
85,650.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,86,Wetzels
86,700.0,600.0,500.0,700.0,900.0,1000.0,550.0,550.0,650.0,850.0,87,Wetzels
87,750.0,800.0,800.0,750.0,750.0,700.0,850.0,700.0,700.0,800.0,88,Wetzels
88,700.0,900.0,800.0,850.0,800.0,800.0,700.0,500.0,500.0,600.0,89,Wetzels
89,850.0,800.0,750.0,650.0,850.0,500.0,500.0,550.0,500.0,500.0,90,Wetzels
90,750.0,800.0,700.0,650.0,600.0,850.0,700.0,800.0,850.0,600.0,91,Wetzels
91,750.0,800.0,850.0,900.0,850.0,950.0,1000.0,700.0,650.0,800.0,92,Wetzels
92,900.0,700.0,950.0,850.0,700.0,900.0,500.0,600.0,500.0,500.0,93,Wetzels
93,500.0,800.0,1000.0,500.0,950.0,950.0,850.0,900.0,1000.0,600.0,94,Wetzels
94,700.0,700.0,750.0,750.0,550.0,500.0,850.0,500.0,550.0,500.0,95,Wetzels
95,600.0,600.0,600.0,600.0,650.0,600.0,600.0,700.0,650.0,650.0,96,Wetzels
96,750.0,800.0,600.0,750.0,650.0,750.0,550.0,650.0,600.0,550.0,97,Wetzels
97,1000.0,1000.0,850.0,1000.0,1000.0,850.0,1000.0,750.0,700.0,850.0,98,Wetzels
