,Wins_9_5,Wins_19,Wins_28_5,Wins_38,Wins_47_5,Wins_57,Wins_66_5,Wins_76,Wins_85_5,Wins_95,Subj,Study
0,950.0,750.0,575.0,600.0,550.0,550.0,550.0,550.0,500.0,500.0,1,Fridberg
1,900.0,650.0,875.0,850.0,675.0,850.0,750.0,750.0,525.0,750.0,2,Fridberg
2,800.0,900.0,875.0,650.0,675.0,750.0,575.0,750.0,850.0,650.0,3,Fridberg
3,800.0,800.0,825.0,700.0,575.0,850.0,550.0,750.0,925.0,550.0,4,Fridberg
4,800.0,750.0,825.0,500.0,750.0,500.0,650.0,750.0,700.0,500.0,5,Fridberg
5,825.0,750.0,725.0,500.0,600.0,500.0,625.0,700.0,500.0,500.0,6,Fridberg
6,750.0,800.0,775.0,650.0,800.0,700.0,800.0,750.0,950.0,650.0,7,Fridberg
7,800.0,850.0,800.0,600.0,775.0,550.0,550.0,750.0,750.0,600.0,8,Fridberg
8,725.0,700.0,825.0,650.0,800.0,600.0,725.0,750.0,700.0,750.0,9,Fridberg
9,725.0,750.0,775.0,650.0,650.0,600.0,500.0,500.0,500.0,500.0,10,Fridberg
10,750.0,900.0,775.0,900.0,775.0,600.0,650.0,750.0,875.0,800.0,11,Fridberg
11,750.0,700.0,725.0,800.0,700.0,950.0,850.0,850.0,875.0,800.0,12,Fridberg
12,775.0,850.0,675.0,800.0,825.0,600.0,550.0,750.0,600.0,700.0,13,Fridberg
13,775.0,750.0,650.0,800.0,800.0,800.0,775.0,850.0,725.0,700.0,14,Fridberg
14,675.0,800.0,800.0,600.0,550.0,750.0,650.0,600.0,500.0,600.0,15,Fridberg
